p,q,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,central_sp_mean,central_sp_std
0.2,0.4,1.2350282451423258,0.20521600976536572,3.4570135746606336,1.329854938775944,3.4570135746606336,1.5629210802158724,4e-05,442,1528,10.625303483841911,4.235429047176395
0.2,0.5,1.2210538707233678,0.20663663157074644,3.1244343891402715,1.2202626642150105,3.1244343891402715,1.4270782325767253,4e-05,442,1381,11.501626128654285,4.874181719635564
0.2,0.6000000000000001,1.1917291844791735,0.20653510193901142,2.8642533936651584,1.1994108693559546,2.8642533936651584,1.363598516120935,4e-05,442,1266,16.471382114729998,10.939797192050117
0.2,0.7000000000000001,1.1698573601098303,0.20372947612680378,2.515837104072398,1.1057123789067533,2.515837104072398,1.2552055773211892,4e-05,442,1112,15.843753402352943,8.208790260052876
0.2,0.8,1.1183467321065985,0.18712261354731433,2.074660633484163,0.9846516703787634,2.074660633484163,1.000606376216185,4e-05,442,917,11.377852058133088,4.759646890517526
0.2,0.9,1.074332879386261,0.15894750647361638,1.8280542986425339,0.8305971883887819,1.8280542986425339,0.8547605929497465,4e-05,442,808,10.712690815629175,4.393460115668847
0.30000000000000004,0.4,1.2455981940561698,0.2034984765268595,3.262443438914027,1.2741393698016994,3.262443438914027,1.4810695055550251,4e-05,442,1442,10.69309652495467,4.3063834830416825
0.30000000000000004,0.5,1.223553965814315,0.20645267964178285,2.934389140271493,1.1911222179787468,2.934389140271493,1.3811082220333204,4e-05,442,1297,12.042763653556664,4.664506381102352
0.30000000000000004,0.6000000000000001,1.2078064662581236,0.20710559928271643,2.678733031674208,1.2278628846779034,2.678733031674208,1.2784146808249377,4e-05,442,1184,12.449817762116334,5.120780241475796
0.30000000000000004,0.7000000000000001,1.1784891604494097,0.20512008823320504,2.2154195011337867,1.0546680033363243,2.2154195011337867,1.1919373389306864,4e-05,441,977,15.357103036625107,7.335292145596406
0.30000000000000004,0.8,1.1375815733177774,0.19508834994498467,1.9183673469387754,0.939268331651331,1.9183673469387754,1.01804715518533,4e-05,441,846,11.832348710908754,4.797116866127546
0.30000000000000004,0.9,1.076521381000652,0.16075034081376635,1.6938775510204083,0.7761663294341558,1.6938775510204083,0.840679820722471,4e-05,441,747,11.610388452778679,4.798535096351119
0.4,0.4,1.261529001060385,0.19982852848744148,3.0995475113122173,1.3331993885888282,3.0995475113122173,1.4734604738861055,4e-05,442,1370,12.000702102714039,4.979315626175229
0.4,0.5,1.2342958399808919,0.20531432949341405,2.7918552036199094,1.278831019100686,2.7918552036199094,1.4307947027077126,4e-05,442,1234,12.881616016441313,5.396559166222027
0.4,0.6000000000000001,1.2223990777007776,0.20654143526366173,2.487528344671202,1.1568404522504472,2.487528344671202,1.3180943829956038,4e-05,441,1097,21.866302160462663,11.007612868043033
0.4,0.7000000000000001,1.188197998801095,0.20624179198734693,2.1063348416289593,1.1134738987399755,2.1063348416289593,1.1276073480250106,4e-05,442,931,19.36387251191212,11.652415992846898
0.4,0.8,1.1347574789587136,0.194058746982964,1.7123287671232876,0.9262205629231004,1.7123287671232876,0.9505506991414009,4e-05,438,750,13.471282987903471,4.970044564490686
0.4,0.9,1.0849509850974761,0.16724586779737696,1.5251141552511416,0.8537103337787016,1.5251141552511416,0.8616959812703832,4e-05,438,668,9.797280010166451,4.664391511647524
0.5,0.4,1.2747658983533188,0.1957433592172814,2.9502262443438916,1.3359838659167886,2.9502262443438916,1.3972378839945636,4e-05,442,1304,11.315648480964608,4.665168892245851
0.5,0.5,1.2545760773838037,0.2015933648014975,2.665158371040724,1.23526925538105,2.665158371040724,1.309937167255908,4e-05,442,1178,12.833410504975793,5.38131985810044
0.5,0.6000000000000001,1.2400230613159002,0.20447429500037037,2.2918552036199094,1.1894622903312155,2.2918552036199094,1.2102042372162187,4e-05,442,1013,13.312565096951424,5.589079079077138
0.5,0.7000000000000001,1.195680200155566,0.20679132491329247,1.9683257918552035,1.1170790136865625,1.9683257918552035,1.1089481391425078,4e-05,442,870,15.674160422389818,8.940823255534157
0.5,0.8,1.1767845176426608,0.20487503300067475,1.6529680365296804,1.056887760693804,1.6529680365296804,1.0037044871915606,4e-05,438,724,12.626236278252149,5.37888894228295
0.5,0.9,1.0970167978315721,0.1754235285768523,1.3935185185185186,0.8594543001821033,1.3935185185185186,0.8431393220125196,4e-05,432,602,1.823801506930344,0.9364329301849921
0.6000000000000001,0.4,1.2893501492783117,0.19007695078145354,2.81447963800905,1.2501468966325717,2.81447963800905,1.437055916309092,4e-05,442,1244,13.212163979046872,4.8988430431792365
0.6000000000000001,0.5,1.2621801200039442,0.19965005926609874,2.416289592760181,1.2008695142871177,2.416289592760181,1.3055768951916256,4e-05,442,1068,13.533506479776152,4.838472208843212
0.6000000000000001,0.6000000000000001,1.2500168542442254,0.2026127943730041,2.145124716553288,1.165171070659396,2.145124716553288,1.2332432566302611,4e-05,441,946,16.94753434196961,6.76738149030347
0.6000000000000001,0.7000000000000001,1.2277410361387129,0.2060763119235725,1.860411899313501,1.0871467977501506,1.860411899313501,1.110059191793989,4e-05,437,813,0.0,0.0
0.6000000000000001,0.8,1.1793241641981083,0.20523485329428376,1.529137529137529,0.999866868627274,1.529137529137529,0.9569836315540754,4e-05,429,656,0.7071067811865475,0.7071067811865475
0.6000000000000001,0.9,1.1153506123064316,0.18567181877144448,1.1504854368932038,0.770622467653256,1.1504854368932038,0.7384546691108433,4e-05,412,474,2.7761423749153966,1.8727196058431752
