,city,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,node_density,edge_length_total,edge_density,central_sp_mean,central_sp_std,degree_avg,degree_std
0,gre4000_6000_110_90_0.5_0.5,128.68433393135732,21.40176009906778,2.6285829632620104,1.21660830987349,2.6285829632620104,1.1549853895094249,23.5224,2477,6511,105.3038805564058,837863.6982270675,35619.82188157107,2922.5024241842602,1317.8863025824326,5.257165926524021,2.371593699382915
1,gre4000_6000_110_90_0.5_0.6000000000000001,126.36024849055713,22.320312624914845,2.2504045307443366,1.1459086492698194,2.2504045307443366,1.0680714093093229,23.5224,2472,5563,105.09131721252933,702942.0623529693,29883.943065034575,5307.970722047691,3415.127837491249,4.500809061488673,2.2139800585791423
2,gre4000_6000_110_90_0.5_0.7000000000000001,123.689242853136,23.11334399584406,1.9087961086339684,1.0779281581269469,1.9087961086339684,1.0115825221931152,23.5224,2467,4709,104.87875386865285,582452.6445954174,24761.61635697962,2733.2733218756184,1155.8808577239215,3.817592217267937,2.0895106803200623
3,gre4000_6000_110_90_0.5_0.8,118.77758121930722,23.8074036053695,1.5228384991843393,0.9826639733505423,1.5228384991843393,0.8418404651103784,23.5224,2452,3734,104.24106383702343,443515.4882728932,18855.02704965876,3787.4225258469974,1797.0319094195531,3.0456769983686787,1.8245044384609206
4,gre4000_6000_110_90_0.6000000000000001_0.5,130.19312765184065,20.36565814632729,2.4945498587000405,1.187877203222789,2.4945498587000405,1.1403659795240002,23.5224,2477,6179,105.3038805564058,804463.3357607235,34199.883335064595,3468.305575201149,1530.0679054271623,4.989099717400081,2.328243182746789
5,gre4000_6000_110_90_0.6000000000000001_0.6000000000000001,128.37036742792137,21.231687946402324,2.158980582524272,1.1628208627498315,2.158980582524272,1.075341563684471,23.5224,2472,5337,105.09131721252933,685112.6509628163,29125.967204146527,4040.784736882902,1808.309453277852,4.317961165048544,2.2381624264343025
6,gre4000_6000_110_90_0.6000000000000001_0.7000000000000001,125.36432633928115,22.48445065287622,1.7895807895807896,1.0928064761835896,1.7895807895807896,1.0018731476153075,23.5224,2457,4397,104.4536271808999,551226.9429138192,23434.128444113663,3302.0401450918557,1515.7453560098502,3.579161579161579,2.094679623798897
7,gre4000_6000_110_90_0.6000000000000001_0.8,120.57918143683148,23.291294833266683,1.4409448818897639,0.9962288289748502,1.4409448818897639,0.8842768592986745,23.5224,2413,3477,102.58306975478692,419253.81385586306,17823.598521233507,1053.052423802722,404.12804152756485,2.8818897637795278,1.8805056882735247
8,gre4000_6000_110_90_0.7000000000000001_0.5,131.7705259140783,19.231939372030176,2.3792407108239093,1.1588134167975706,2.3792407108239093,1.1295153457169835,23.5224,2476,5891,105.26136788763051,776260.1681598352,33000.8914124339,3195.904729761542,1326.3285849495683,4.758481421647819,2.288328762514554
9,gre4000_6000_110_90_0.7000000000000001_0.6000000000000001,130.25582637903534,20.150391248095083,2.034874290348743,1.1410999110095152,2.034874290348743,1.0797481028200018,23.5224,2466,5018,104.83624119987756,653623.7367699994,27787.289424973613,5211.511388817967,2296.0232604724424,4.069748580697486,2.2208480138295172
10,gre4000_6000_110_90_0.7000000000000001_0.7000000000000001,127.1057435598395,21.624097590980654,1.6665302782324058,1.055967024628548,1.6665302782324058,0.9895572123829611,23.5224,2444,4073,103.90096248682107,517701.6935192263,22008.88062099217,3087.3760520920623,1814.6989184304423,3.3330605564648117,2.045524237011509
11,gre4000_6000_110_90_0.7000000000000001_0.8,122.9499638685757,22.703838054950328,1.305320945945946,0.9341161806143772,1.305320945945946,0.8786730234443498,23.5224,2368,3091,100.66999965989865,380038.3383177675,16156.443998816765,331.1689387140253,212.9955569360665,2.610641891891892,1.812789204058727
12,gre4000_6000_110_90_0.8_0.5,134.17007107337656,17.34943517352474,2.262135922330097,1.1536728884864549,2.262135922330097,1.1078814300630362,23.5224,2472,5592,105.09131721252933,750279.0374423218,31896.36420783261,3267.6947145633612,1317.270054593368,4.524271844660194,2.261554318549491
13,gre4000_6000_110_90_0.8_0.6000000000000001,132.38751741648667,18.783031297523166,1.896172638436482,1.1206755507575228,1.896172638436482,1.0655479892652608,23.5224,2456,4657,104.41111451212461,616528.6686085784,26210.27907903013,2946.699805379482,1238.127002654478,3.792345276872964,2.186223540022784
14,gre4000_6000_110_90_0.8_0.7000000000000001,130.41925335936915,20.055294111144672,1.5395387149917628,0.9923937004729432,1.5395387149917628,0.9798640517278558,23.5224,2428,3738,103.22075978641635,487507.1690573219,20725.230803715687,0.0,0.0,3.0790774299835255,1.972257752200799
15,gre4000_6000_110_90_0.8_0.8,125.92589764473222,21.950606860159148,1.2413194444444444,0.9152039439744335,1.2413194444444444,0.8594416360248233,23.5224,2304,2860,97.94918885827977,360148.0672639341,15310.855493654308,0.0,0.0,2.482638888888889,1.7746455799992567
