p,q,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,central_sp_mean,central_sp_std
0.6,0.6,1.2636155233814457,0.19924854044384632,2.314836223506744,1.1817133972070912,2.314836223506744,1.2243166951791553,0.00025,2595,6007,32.728679483366896,14.607615581343884
0.6,0.6,1.2614970340902456,0.1998372317725711,2.219530658591976,1.1667666941393466,2.219530658591976,1.2250032393500487,0.000125,1321,2932,28.335322188668737,14.962682742524775
0.6,0.6,1.2588035330524643,0.2005509029148619,2.246242774566474,1.1780999148071452,2.246242774566474,1.224296560571882,8e-05,865,1943,25.47623250742793,12.71503752667204
0.6,0.6,1.2557343988343084,0.20131709717596186,2.1327300150829562,1.193446002757261,2.1327300150829562,1.1858388651018201,6e-05,663,1414,16.923806066410656,8.597955913942265
0.6,0.6,1.2483122137597182,0.20296633006464493,2.055357142857143,1.0948613158845315,2.055357142857143,1.1796518316340423,5e-05,560,1151,32.57527393528247,17.432722036588142
0.6,0.6,1.2454117971426804,0.20353364480118002,2.089519650655022,1.1740737260677767,2.089519650655022,1.1925255705910105,4e-05,458,957,20.14977436765368,11.826497593444007
0.6,0.6,1.2338302368235217,0.20537545065628263,2.1326781326781328,1.184290476722862,2.1326781326781328,1.258714469240203,3.5e-05,407,868,17.056308854854397,8.272153215788812
0.6,0.6,1.2305188521032877,0.2057792354656855,1.9382022471910112,1.0870024361401982,1.9382022471910112,1.209327570420529,3e-05,356,690,16.00394604247852,8.89268832290072
0.6,0.6,1.2248587910025375,0.2063445782203775,1.9508196721311475,1.0562263404384298,1.9508196721311475,1.176633562861587,2.5e-05,305,595,13.77318051492201,7.714105668352319
0.6,0.6,1.2618987582392285,0.1997274594644187,2.267924528301887,1.2093618440217637,2.267924528301887,1.1968155206757798,0.000125,1325,3005,25.857001830064963,11.4023431860481
0.6,0.6,1.2581330895948275,0.20072253152966063,2.1466666666666665,1.1715643230155837,2.1466666666666665,1.1550084174777449,6.25e-05,675,1449,0.7071067811865475,0.7071067811865475
0.6,0.6,1.2481748635966734,0.2029941659767778,2.126984126984127,1.1960715069069527,2.126984126984127,1.1979658580389339,4e-05,441,938,0.0,0.0
0.6,0.6,1.2549447237289453,0.20150620354411614,2.13905325443787,1.1671850740837826,2.13905325443787,1.1822960524944024,3e-05,338,723,16.21515472295013,6.765604739796978
0.6,0.6,1.2433679011249332,0.2039076996934312,2.0842105263157893,1.130096948749711,2.0842105263157893,1.202306186545252,2.5e-05,285,594,25.643755047558578,8.186821205451695
0.6,0.6,1.2413163834361114,0.2042618954366652,1.9145299145299146,1.0133523072839823,1.9145299145299146,1.1328252976907016,2e-05,234,448,11.66650263827048,5.291491370162705
0.6,0.6,1.236409659100232,0.20502331613606345,2.0048076923076925,1.1072210369010396,2.0048076923076925,1.257659594375777,1.75e-05,208,417,8.210364601675503,4.373235580583371
0.6,0.6,1.2198340135499666,0.20671535107441835,1.967032967032967,1.1187763080636826,1.967032967032967,1.1236767499924587,1.5e-05,182,358,8.056931951552125,4.807466811946259
0.6,0.6,1.2240400400256992,0.2064133802798132,2.0516129032258066,1.206399860887606,2.0516129032258066,1.2223380472557461,1.25e-05,155,318,7.182981065803222,3.8748686776866617
0.6,0.6,1.2546694064149773,0.2015713657611925,2.232638888888889,1.1325567106913892,2.232638888888889,1.1884083189551176,8e-05,864,1929,23.55160648142684,10.840927950133185
0.6,0.6,1.2476373555692915,0.20310216974138254,2.1040723981900453,1.1545823221623934,2.1040723981900453,1.1623940322288382,4e-05,442,930,12.870560682649812,4.842008102500993
0.6,0.6,1.2440070263096725,0.2037930095054926,2.1631944444444446,1.168643951087576,2.1631944444444446,1.17161133865204,2.56e-05,288,623,11.524788104140937,5.119980730568021
0.6,0.6,1.2453282043239795,0.20354935919034947,2.1085972850678734,1.1561240933691534,2.1085972850678734,1.285832415486797,1.92e-05,221,466,9.588818248718269,3.865334358573026
0.6,0.6,1.2245365598012572,0.20637204663155015,2.160427807486631,1.154362026679026,2.160427807486631,1.2262441369037875,1.6e-05,187,404,8.866108261217114,3.7509364470626614
0.6,0.6,1.2317464947039183,0.2056358512789888,2.0326797385620914,1.1226619897298766,2.0326797385620914,1.228306132955519,1.28e-05,153,311,9.194116703896364,4.749111437112808
0.6,0.6,1.2462891451948135,0.20336656845257595,1.9185185185185185,0.9664892699437092,1.9185185185185185,1.115890953466079,1.12e-05,135,259,5.723754345244845,2.954919371438727
0.6,0.6,1.2140103405594327,0.2069916898849747,2.0338983050847457,1.134454273266543,2.0338983050847457,1.2208097020589224,9.6e-06,118,240,8.249287175948833,4.677675170906739
0.6,0.6,1.2173595921363767,0.20685284305776305,1.9803921568627452,0.9998077477632911,1.9803921568627452,1.2908455365202185,8e-06,102,202,4.896075033130287,2.3939770301502
0.6,0.6,1.256022885582818,0.20124719512118844,2.1840120663650073,1.177690128628957,2.1840120663650073,1.203031946420292,6e-05,663,1448,22.328746368722218,13.727882931695882
0.6,0.6,1.2456315390855839,0.20349216653786245,2.121661721068249,1.1555720633431885,2.121661721068249,1.183481597951158,3e-05,337,715,15.30043015084169,8.199871103464885
