a,b,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,central_sp_mean,central_sp_std
0.1,0.1,1.2736737135430733,0.19611747074163033,2.34070144414972,1.1857807466569152,2.34070144414972,1.200846518055575,0.001,10179,23826,63.62274366189298,26.229655095595984
0.1,0.2,1.2691920567575632,0.197581976330645,2.3252965195411237,1.2045976899185902,2.3252965195411237,1.1921040147066775,0.0005,5143,11959,51.209559975224295,22.850196954882108
0.1,0.30000000000000004,1.2692678998600537,0.19755812850579138,2.286339754816112,1.1829323174371817,2.286339754816112,1.1797202390970247,0.00033,3426,7833,1.7677669529663687,1.1726039399558572
0.1,0.4,1.2656453256915474,0.19866166620837714,2.258298359404807,1.1745962980711964,2.258298359404807,1.1907266017085472,0.00025,2621,5919,43.521291564212476,22.0348711700719
0.1,0.5,1.2620301264735878,0.19969137426522218,2.2219074598677997,1.1668427279527722,2.2219074598677997,1.2175346795366746,0.0002,2118,4706,41.49503195086911,24.814779012813673
0.1,0.6000000000000001,1.2546750927543022,0.20157002393224427,2.2265032107413893,1.1597745101187873,2.2265032107413893,1.1767639327057857,0.00016,1713,3814,31.88279375274951,16.22595615257184
0.1,0.7000000000000001,1.2539412264352972,0.20174179921794683,2.1949768671513548,1.14554853394152,2.1949768671513548,1.1957961793044394,0.00014,1513,3321,0.0,0.0
0.1,0.8,1.251966673449138,0.20219003160304738,2.191896024464832,1.1714082646637,2.191896024464832,1.229366118538034,0.00012,1308,2867,24.653390469904366,16.36882478451469
0.1,0.9,1.250990078319475,0.2024042367298563,2.144867549668874,1.163620811541688,2.144867549668874,1.2185270185924033,0.00011,1208,2591,29.646364428166123,15.364505196361577
0.2,0.1,1.2669468131665305,0.19827352164645465,2.339428126823575,1.1929816415930918,2.339428126823575,1.219907005576647,0.0005,5141,12027,48.28577820942528,20.391484715679617
0.2,0.2,1.2706488891513452,0.19711828765703734,2.253091190108192,1.1822399806725992,2.253091190108192,1.2109790880969051,0.00025,2588,5831,34.715184670703415,18.002944892858956
0.2,0.30000000000000004,1.2652128921406893,0.198788577849024,2.304849884526559,1.1690384268774714,2.304849884526559,1.2371835473729382,0.000165,1732,3992,38.63134596997276,23.550884539916556
0.2,0.4,1.256417919564297,0.20115076546049468,2.2046827794561934,1.1735796734028323,2.2046827794561934,1.1882897173001277,0.000125,1324,2919,28.67884775802825,15.238650043202378
0.2,0.5,1.262859577134656,0.1994613861313038,2.217025257249766,1.1725142447662025,2.217025257249766,1.1899368120877303,0.0001,1069,2370,18.708504245134,8.474961091130146
0.2,0.6000000000000001,1.258828218537297,0.2005445380254097,2.1664739884393063,1.1379058677123806,2.1664739884393063,1.206929772089878,8e-05,865,1874,24.302300313750912,11.539350506864514
0.2,0.7000000000000001,1.2572615559076274,0.2009420747034584,2.1727748691099475,1.1729910515036786,2.1727748691099475,1.1972884489313151,7e-05,764,1660,26.16157220502038,14.729388225248998
0.2,0.8,1.2543730516229303,0.2016410635076279,2.1077389984825494,1.1339367892634613,2.1077389984825494,1.2326800262860025,6e-05,659,1389,30.099682286763592,16.010466709546545
0.2,0.9,1.2466144831118504,0.20330361605744726,2.1963993453355157,1.1686242408493488,2.1963993453355157,1.2044870274434012,5.5e-05,611,1342,19.29064574289324,7.414080356969689
0.30000000000000004,0.1,1.2661169365445109,0.1985220904032636,2.2772421852176454,1.1866303084024514,2.2772421852176454,1.2100341470119698,0.00033,3423,7795,59.31228706824269,25.740010555140014
0.30000000000000004,0.2,1.2647070311689006,0.19893574343345885,2.258660508083141,1.1598857384741297,2.258660508083141,1.220996094224893,0.000165,1732,3912,25.522274891263123,12.310868620708172
0.30000000000000004,0.30000000000000004,1.2604463167567403,0.20012024574892126,2.216333622936577,1.1904386417469706,2.216333622936577,1.194082181874875,0.0001089,1151,2551,33.74792132777871,16.102120805690788
0.30000000000000004,0.4,1.2588834764831849,0.2005302786055306,2.258503401360544,1.149317664323422,2.258503401360544,1.2394961051409692,8.25e-05,882,1992,24.50822560911381,11.827193918277816
0.30000000000000004,0.5,1.2576977506366969,0.20083269809357887,2.2016806722689077,1.1697386425468448,2.2016806722689077,1.2039605412406729,6.6e-05,714,1572,27.23436492330621,12.516735581679056
0.30000000000000004,0.6000000000000001,1.2528532589586765,0.20199128343791622,2.1539792387543253,1.129423902930227,2.1539792387543253,1.1847472448463625,5.28e-05,578,1245,16.41573181457564,7.0621548919573
0.30000000000000004,0.7000000000000001,1.252606083160985,0.20204710424376646,2.159448818897638,1.1872722704716423,2.159448818897638,1.1955335560330238,4.62e-05,508,1097,15.934474897263296,7.868542065425291
0.30000000000000004,0.8,1.2476325405322397,0.2031031305591018,2.102272727272727,1.1642376819899318,2.102272727272727,1.2416976349051028,3.96e-05,440,925,19.766971774945755,8.600127163909047
0.30000000000000004,0.9,1.2545636816934533,0.20159628321903691,2.090909090909091,1.0990685844870187,2.090909090909091,1.2418148362612813,3.63e-05,407,851,14.287584020805781,6.674803406241814
0.4,0.1,1.263621776385539,0.19924676692762291,2.2930179320869897,1.1527652383867937,2.2930179320869897,1.1946980398382825,0.00025,2621,6010,47.725482905317946,23.76260705014265
0.4,0.2,1.2633735964005082,0.19931699455673751,2.232980332829047,1.1407199923621818,2.232980332829047,1.226979261041609,0.000125,1322,2952,30.62520706337856,14.10910042133381
0.4,0.30000000000000004,1.257419632741814,0.20090255295000678,2.1704545454545454,1.1202839626741041,2.1704545454545454,1.223088405608476,8.25e-05,880,1910,1.8106601717798212,1.4466617040240992
