p,q,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,central_sp_mean,central_sp_std
0.1,0.1,1.2619110533142068,0.19972408610382963,4.5656108597285066,1.3323314076428463,4.5656108597285066,1.8314727680622387,4e-05,9.962874860621561,3.93119008259606
0.1,0.2,1.251937484757126,0.20219650548617163,4.233031674208145,1.4021619841394843,4.233031674208145,1.7611941505980586,4e-05,10.311630909839344,4.195838064373046
0.1,0.30000000000000004,1.239732373375773,0.2045208780241148,3.920814479638009,1.3166429500399446,3.920814479638009,1.6533446881669556,4e-05,10.21592023172069,4.1179669566365815
0.1,0.4,1.2221974762981302,0.2065562628789109,3.6018099547511313,1.2815419092797042,3.6018099547511313,1.5441603262628107,4e-05,10.747233408086084,4.240256999117275
0.1,0.5,1.2099283994588441,0.20708755946163915,3.321266968325792,1.2641775987281625,3.321266968325792,1.4755780296169003,4e-05,11.740422359592497,4.880227416181669
0.1,0.6000000000000001,1.1872134269251442,0.20614915296862807,3.0384615384615383,1.123933535584784,3.0384615384615383,1.359020603100605,4e-05,11.613717218265217,4.716132533534146
0.1,0.7000000000000001,1.1514172600590575,0.1994790616832838,2.574660633484163,1.0572270131000996,2.574660633484163,1.1728800063368618,4e-05,10.936333147543822,4.515884675587484
0.1,0.8,1.1157361424277765,0.18586184435291359,2.3076923076923075,0.970321873817965,2.3076923076923075,1.0269599362951352,4e-05,10.19779846433372,4.000218666115849
0.1,0.9,1.0716273736981916,0.15664785016097893,1.98868778280543,0.7771386182221213,1.98868778280543,0.8029124571412755,4e-05,10.696166513101392,4.211850372580907
0.2,0.1,1.275228461760127,0.19558286082702578,4.4434389140271495,1.3579712483800515,4.4434389140271495,1.8094060254184356,4e-05,9.972395568317745,3.9383537216361186
0.2,0.2,1.269238815542512,0.19756727745312927,4.072398190045249,1.3568022509680688,4.072398190045249,1.6855006224359628,4e-05,10.03142339160882,3.9436615326459883
0.2,0.30000000000000004,1.2527320959673456,0.20201868592931108,3.7895927601809953,1.3228176142199541,3.7895927601809953,1.6609925388893918,4e-05,10.760187056712788,4.166950750848523
0.2,0.4,1.2377792140490378,0.20482290076001886,3.4524886877828056,1.2811743962405902,3.4524886877828056,1.5900583830906148,4e-05,11.460844194144364,4.807587752260966
0.2,0.5,1.2147885599796486,0.2069642700758427,3.1108597285067874,1.2122749577072394,3.1108597285067874,1.442383548710563,4e-05,10.744816325759704,4.583238195105136
0.2,0.6000000000000001,1.1940157528781599,0.20669263119734452,2.7918552036199094,1.2429445031285742,2.7918552036199094,1.3359378886693891,4e-05,15.195224460257439,8.383063413611369
0.2,0.7000000000000001,1.160589787462449,0.20181523259735537,2.427601809954751,1.0487907903808436,2.427601809954751,1.1978329394982217,4e-05,17.295564368447476,10.352897202149695
0.2,0.8,1.1304087522946247,0.192381473062107,2.1199095022624435,1.0449672496763391,2.1199095022624435,1.0621467167575094,4e-05,10.962270482103435,4.357134988710932
0.2,0.9,1.0756345843058717,0.1600258737230366,1.8461538461538463,0.836847215087219,1.8461538461538463,0.8892755472606876,4e-05,11.17613369247852,4.6346561538921085
0.30000000000000004,0.1,1.2876115470364837,0.19081981419365096,4.248868778280543,1.2518081351450188,4.248868778280543,1.7376743926864018,4e-05,10.223877245863111,4.013229366312439
0.30000000000000004,0.2,1.2733474116065366,0.19622792282194432,3.911764705882353,1.3195011599663395,3.911764705882353,1.6800390694723204,4e-05,11.36037119246253,4.1022505954211095
0.30000000000000004,0.30000000000000004,1.2602952696967267,0.20016044440262187,3.567873303167421,1.280257151156823,3.567873303167421,1.5678210669509012,4e-05,10.566119435625412,4.016539185348339
0.30000000000000004,0.4,1.2511308162248647,0.20237367208309862,3.3846153846153846,1.362569591908974,3.3846153846153846,1.5808636340451923,4e-05,11.304073552534987,4.888636564588003
