,city,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,num_nodes,num_edges,node_density,edge_length_total,edge_density,central_sp_mean,central_sp_std,degree_avg,degree_std
0,gre4000_6000_110_90_0.6_0.1,134.61741126594558,17.20037141720877,3.9745865268253326,1.0588566811586764,3.9745865268253326,1.1630659693448182,23.5224,2479,9853,105.38890589395639,1326385.3532033619,56388.18118913724,2480.3369519803973,1053.8707618496132,7.949173053650665,2.221922650503495
1,gre4000_6000_110_90_0.6_0.2,133.7138154092854,17.957842197262302,3.583703106091166,1.1365754678263014,3.583703106091166,1.1876026280760004,23.5224,2479,8884,105.38890589395639,1187913.5360960914,50501.37469374262,2523.087192251881,1045.035247803898,7.167406212182332,2.324178095902302
2,gre4000_6000_110_90_0.6_0.30000000000000004,132.79939347997046,18.693077243879323,3.280758370310609,1.1876383890850981,3.280758370310609,1.2065092005843645,23.5224,2479,8133,105.38890589395639,1080057.4671725999,45916.12536019283,2647.82507442537,1088.2282408808035,6.561516740621218,2.394147589669463
3,gre4000_6000_110_90_0.6_0.4,131.8177801387773,19.40319810064536,2.8535108958837774,1.195536569809616,2.8535108958837774,1.187747587749912,23.5224,2478,7071,105.3463932251811,932083.5233612943,39625.35809956868,2831.769563275538,1155.572577163098,5.707021791767555,2.383284157559528
4,gre4000_6000_110_90_0.6_0.5,130.1924755989925,20.427708853575602,2.499394428744449,1.1902661826856975,2.499394428744449,1.1814145964842648,23.5224,2477,6191,105.3038805564058,806021.6164333626,34266.130005159444,3189.6281488709233,1334.2074062974211,4.998788857488898,2.3716807791699623
5,gre4000_6000_110_90_0.6_0.6000000000000001,127.8410430132303,21.64081181581413,2.1628282828282828,1.1615698541494475,2.1628282828282828,1.1030499868743555,23.5224,2475,5353,105.21885521885521,684333.1032498218,29092.826550429454,4682.696178048284,2759.422643308659,4.3256565656565655,2.264619841023803
6,gre4000_6000_110_90_0.6_0.7000000000000001,125.71983448136393,22.301578796299346,1.802353896103896,1.08164030891717,1.802353896103896,1.0178492945647009,23.5224,2464,4441,104.75121586232697,558321.7849317372,23735.749112834455,231.52338938661174,151.0062199476346,3.604707792207792,2.099489603481871
7,gre4000_6000_110_90_0.6_0.8,120.60326567781297,23.423832345517532,1.4461985874532612,1.0078179477557088,1.4461985874532612,0.890046216310567,23.5224,2407,3481,102.32799374213515,419819.96782446693,17847.667237376583,174.39668535109283,105.4472829042326,2.8923971749065225,1.897864164066276
8,gre4000_6000_110_90_0.6_0.9,113.50104415649595,22.726811264661112,1.1233174120712115,0.8425757747276842,1.1233174120712115,0.7142789832423811,23.5224,2303,2587,97.90667618950447,293627.20123285503,12482.875949429268,0.0,0.0,2.246634824142423,1.5568547579700653
